slide_id,slide_type,forest,n,n_slide,n_runout,tp,tn,fp,fn,auc,auc_prob
14,3,2,8547,46,249.0,46,1123,203,0,0.9880602282084461,0.999424620121418
14,3,3,8547,46,249.0,46,1123,203,0,0.9880602282084461,0.999424620121418
14,3,4,8547,46,249.0,46,1123,203,0,0.9880602282084461,0.999424620121418
14,3,5,8547,46,249.0,46,1123,203,0,0.9880602282084461,0.999424620121418
15,0,0,10656,23,877.0,23,464,854,0,0.9598420013166558,0.9997301264725486
15,0,1,10656,23,877.0,23,464,854,0,0.9598420013166558,0.9997301264725486
15,0,2,10656,23,877.0,23,464,854,0,0.9598420013166558,0.9997301264725486
15,0,3,10656,23,877.0,23,464,854,0,0.9598420013166558,0.9997301264725486
15,0,4,10656,23,877.0,23,464,854,0,0.9598420013166558,0.9997301264725486
15,0,5,10656,23,877.0,23,464,854,0,0.9598420013166558,0.9997301264725486
15,1,0,10656,23,136.0,23,1205,113,0,0.9946863538041946,0.9990820211073811
15,1,1,10656,23,136.0,23,1205,113,0,0.9946863538041946,0.9990820211073811
15,1,2,10656,23,136.0,23,1205,113,0,0.9946863538041946,0.9990820211073811
15,1,3,10656,23,136.0,23,1205,113,0,0.9946863538041946,0.9990820211073811
15,1,4,10656,23,136.0,23,1205,113,0,0.9946863538041946,0.9990820211073811
15,1,5,10656,23,136.0,23,1205,113,0,0.9946863538041946,0.9990820211073811
15,2,0,10656,23,378.0,23,963,355,0,0.9833066867299916,0.9996708360763661
15,2,1,10656,23,376.0,23,965,353,0,0.9834007335653155,0.9996708360763661
15,2,2,10656,23,376.0,23,965,353,0,0.9834007335653155,0.9996708360763661
15,2,3,10656,23,376.0,23,965,353,0,0.9834007335653155,0.9996708360763661
15,2,4,10656,23,378.0,23,963,355,0,0.9833066867299916,0.9996708360763661
15,2,5,10656,23,378.0,23,963,355,0,0.9833066867299916,0.9996708360763661
15,3,0,10656,23,138.0,23,1203,115,0,0.9945923069688706,0.9996994590262472
15,3,1,10656,23,138.0,23,1203,115,0,0.9945923069688706,0.9996994590262472
15,3,2,10656,23,138.0,23,1203,115,0,0.9945923069688706,0.9996994590262472
15,3,3,10656,23,138.0,23,1203,115,0,0.9945923069688706,0.9996994590262472
15,3,4,10656,23,138.0,23,1203,115,0,0.9945923069688706,0.9996994590262472
15,3,5,10656,23,138.0,23,1203,115,0,0.9945923069688706,0.9996994590262472
16,0,0,12054,107,1423.0,107,496,1316,0,0.9449234117351637,0.9992701409418077
16,0,1,12054,107,1423.0,107,496,1316,0,0.9449234117351637,0.9992709232130383
16,0,2,12054,107,1423.0,107,496,1316,0,0.9449234117351637,0.9992709232130383
16,0,3,12054,107,1423.0,107,496,1316,0,0.9449234117351637,0.9992709232130383
16,0,4,12054,107,1423.0,107,496,1316,0,0.9449234117351637,0.9992701409418077
16,0,5,12054,107,1423.0,107,496,1316,0,0.9449234117351637,0.9992701409418077
16,1,0,12054,107,379.0,107,1540,272,0,0.9886163890516448,0.9983212459390345
16,1,1,12054,107,379.0,107,1540,272,0,0.9886163890516448,0.9983212459390345
16,1,2,12054,107,379.0,107,1540,272,0,0.9886163890516448,0.9983212459390345
16,1,3,12054,107,379.0,107,1540,272,0,0.9886163890516448,0.9983212459390345
16,1,4,12054,107,379.0,107,1540,272,0,0.9886163890516448,0.9983212459390345
16,1,5,12054,107,379.0,107,1540,272,0,0.9886163890516448,0.9983212459390345
16,2,0,12054,107,744.0,107,1175,637,0,0.9733405875952122,0.9989533210933961
16,2,1,12054,107,744.0,107,1175,637,0,0.9733405875952122,0.9989533210933962
16,2,2,12054,107,744.0,107,1175,637,0,0.9733405875952122,0.9989533210933962
16,2,3,12054,107,744.0,107,1175,637,0,0.9733405875952122,0.9989533210933962
16,2,4,12054,107,744.0,107,1175,637,0,0.9733405875952122,0.9989533210933961
16,2,5,12054,107,744.0,107,1175,637,0,0.9733405875952122,0.9989533210933961
16,3,0,12054,107,392.0,107,1527,285,0,0.9880723194107307,0.9992145996844317
16,3,1,12054,107,392.0,107,1527,285,0,0.9880723194107307,0.9992145996844317
16,3,2,12054,107,392.0,107,1527,285,0,0.9880723194107307,0.9992145996844317
16,3,3,12054,107,392.0,107,1527,285,0,0.9880723194107307,0.9992145996844317
16,3,4,12054,107,392.0,107,1527,285,0,0.9880723194107307,0.9992145996844317
16,3,5,12054,107,392.0,107,1527,285,0,0.9880723194107307,0.9992145996844317
17,0,0,13225,63,998.0,63,511,935,0,0.9644810819024464,0.9998426205309657
17,0,1,13225,63,998.0,63,511,935,0,0.9644810819024464,0.9998426205309657
17,0,2,13225,63,998.0,63,511,935,0,0.9644810819024464,0.9998426205309657
17,0,3,13225,63,998.0,63,511,935,0,0.9644810819024464,0.9998426205309657
17,0,4,13225,63,998.0,63,511,935,0,0.9644810819024464,0.9998426205309657
17,0,5,13225,63,998.0,63,511,935,0,0.9644810819024464,0.9998426205309657
17,1,0,13225,63,348.0,63,1161,285,0,0.9891733779060933,0.9982145570581978
17,1,1,13225,63,348.0,63,1161,285,0,0.9891733779060933,0.9982145570581978
17,1,2,13225,63,348.0,63,1161,285,0,0.9891733779060933,0.9982145570581978
17,1,3,13225,63,348.0,63,1161,285,0,0.9891733779060933,0.9982145570581978
17,1,4,13225,63,348.0,63,1161,285,0,0.9891733779060933,0.9982145570581978
17,1,5,13225,63,348.0,63,1161,285,0,0.9891733779060933,0.9982145570581978
17,2,0,13225,63,549.0,63,960,486,0,0.9815377602188117,0.9997961905726683
17,2,1,13225,63,549.0,63,960,486,0,0.9815377602188117,0.9997961905726683
17,2,2,13225,63,549.0,63,960,486,0,0.9815377602188117,0.9997961905726683
17,2,3,13225,63,549.0,63,960,486,0,0.9815377602188117,0.9997961905726683
17,2,4,13225,63,549.0,63,960,486,0,0.9815377602188117,0.9997961905726683
17,2,5,13225,63,549.0,63,960,486,0,0.9815377602188117,0.9997961905726683
17,3,0,13225,63,347.0,63,1162,284,0,0.9892113660537912,0.9998390026121374
17,3,1,13225,63,347.0,63,1162,284,0,0.9892113660537912,0.9998390026121374
17,3,2,13225,63,347.0,63,1162,284,0,0.9892113660537912,0.9998390026121374
17,3,3,13225,63,347.0,63,1162,284,0,0.9892113660537912,0.9998390026121374
17,3,4,13225,63,347.0,63,1162,284,0,0.9892113660537912,0.9998390026121374
17,3,5,13225,63,347.0,63,1162,284,0,0.9892113660537912,0.9998390026121374
18,0,0,9417,191,1492.0,177,585,1315,14,0.8920847979134768,0.9384998348623228
18,0,1,9417,191,1492.0,177,585,1315,14,0.8920847979134768,0.9384998348623228
18,0,2,9417,191,1492.0,177,585,1315,14,0.8920847979134768,0.9384998348623228
18,0,3,9417,191,1492.0,177,585,1315,14,0.8920847979134768,0.9384998348623228
18,0,4,9417,191,1492.0,177,585,1315,14,0.8920847979134768,0.9384998348623228
18,0,5,9417,191,1492.0,177,585,1315,14,0.8920847979134768,0.9384998348623228
18,1,0,9417,191,326.0,133,1707,193,58,0.8377079684887803,0.8426450743006051
18,1,1,9417,191,326.0,133,1707,193,58,0.8377079684887803,0.8426450743006051
18,1,2,9417,191,326.0,133,1707,193,58,0.8377079684887803,0.8426450743006051
18,1,3,9417,191,326.0,133,1707,193,58,0.8377079684887803,0.8426450743006051
18,1,4,9417,191,326.0,133,1707,193,58,0.8377079684887803,0.8426450743006051
18,1,5,9417,191,326.0,133,1707,193,58,0.8377079684887803,0.8426450743006051
18,2,0,9417,191,626.0,133,1407,493,58,0.8214495683153574,0.838517767338605
18,2,1,9417,191,626.0,133,1407,493,58,0.8214495683153574,0.838517767338605
18,2,2,9417,191,626.0,133,1407,493,58,0.8214495683153574,0.838517767338605
18,2,3,9417,191,626.0,133,1407,493,58,0.8214495683153574,0.838517767338605
18,2,4,9417,191,626.0,133,1407,493,58,0.8214495683153574,0.838517767338605
18,2,5,9417,191,626.0,133,1407,493,58,0.8214495683153574,0.838517767338605
18,3,0,9417,191,322.0,133,1711,189,58,0.8379247471577593,0.8430179109119119
18,3,1,9417,191,322.0,133,1711,189,58,0.8379247471577593,0.8430179109119119
18,3,2,9417,191,322.0,133,1711,189,58,0.8379247471577593,0.8430179109119119
18,3,3,9417,191,322.0,133,1711,189,58,0.8379247471577593,0.8430179109119119
18,3,4,9417,191,322.0,133,1711,189,58,0.8379247471577593,0.8430179109119119
18,3,5,9417,191,322.0,133,1711,189,58,0.8379247471577593,0.8430179109119119
19,0,0,5734,106,969.0,106,477,863,0,0.9233297796730633,0.9932053009883199
19,0,1,5734,106,969.0,106,477,863,0,0.9233297796730633,0.9932053009883199
19,0,2,5734,106,969.0,106,477,863,0,0.9233297796730633,0.9932053009883199
19,0,3,5734,106,969.0,106,477,863,0,0.9233297796730633,0.9932053009883199
19,0,4,5734,106,969.0,106,477,863,0,0.9233297796730633,0.9932053009883199
19,0,5,5734,106,969.0,106,477,863,0,0.9233297796730633,0.9932053009883199
19,1,0,5734,106,210.0,92,1222,118,14,0.9234789663542128,0.9303147336095802
19,1,1,5734,106,210.0,92,1222,118,14,0.9234789663542128,0.9303147336095802
19,1,2,5734,106,210.0,92,1222,118,14,0.9234789663542128,0.9303147336095802
19,1,3,5734,106,210.0,92,1222,118,14,0.9234789663542128,0.9303147336095802
19,1,4,5734,106,210.0,92,1222,118,14,0.9234789663542128,0.9303147336095802
19,1,5,5734,106,210.0,92,1222,118,14,0.9234789663542128,0.9303147336095802
19,2,0,5734,106,614.0,104,830,510,2,0.9452568692923522,0.9823280833031607
